File	Word	V1	V2	POA	MOA	V1 Dur	V2 Dur	Consonant Duration	Burst Duration	Burst RMS	F0_V1	F1_onset_V1	F1_mid_V1	F2_onset_V1	F2_mid_V1	F0_V2	F1_onset_V2	F1_mid_V2	F2_onset_V2	F2_mid_V2
Amitava_00	bharoter	o	e	D	VLS_N	37.26	54.70	61.20	16.43	0.03	209.17	621.09	598.74	1430.50	1445.77	223.66	536.05	595.26	1716.87	1751.65
Amitava_00	brihOttOmo	O	O	D	VLS	78.44	76.25	134.49	12.85	0.03	198.03	548.27	626.72	1613.16	1311.92	149.05	550.47	583.59	1322.06	1155.39
Amitava_01	shOtoke	O	o	D	VLS_N	39.64	37.79	49.03	22.07	0.03	175.54	486.78	546.71	1118.82	1157.01	176.13	537.65	541.27	1296.17	1322.81
Amitava_02	upore	u	o	BL	VLS_N	58.20	74.04	94.19	16.69	0.02	173.91	376.29	340.96	1003.06	798.66	223.23	403.10	434.92	834.36	907.10
Amitava_02	pOddo	O	o	D	VS	132.11	79.71	198.47	22.64	0.01	145.50	511.79	578.79	671.50	814.66	210.38	394.02	417.60	1246.28	1020.56
Amitava_03	bharoter	o	e	D	VLS_N	50.06	79.31	82.33	24.41	0.03	181.06	504.74	449.83	1231.36	1165.89	227.46	440.34	451.52	1841.24	1939.85
Amitava_04	taeroTi	o	i	R	VLS_N	82.19	84.82	77.97	18.31	0.02	173.97	463.09	423.42	1467.73	1201.46	207.31	303.33	317.57	2373.19	2439.48
Amitava_06	theke	e	e	V	VLS_N	39.30	112.03	68.54	17.78	0.02	220.19	400.19	407.61	2003.42	2182.75	125.74	331.60	357.50	2315.09	2233.52
Amitava_07	uttor	u	o	R	VLS	87.15	66.18	155.18	31.30	0.03	167.78	283.53	347.05	1972.73	1836.69	198.25	433.62	424.25	1172.86	1200.75
Amitava_08	theke	e	e	V	VLS_N	38.65	97.67	70.04	26.12	0.01	193.49	311.05	330.86	1949.84	2102.43	146.54	350.89	407.65	2288.18	2209.67
Amitava_09	theke	e	e	V	VLS_N	33.22	124.01	78.35	18.81	0.02	229.76	455.72	441.23	2207.28	2239.32	157.44	346.24	408.56	2298.13	2215.79
Amitava_130	uddan	u	a	D	VS	57.80	125.37	182.29	14.60	0.04	196.93	389.61	373.84	1295.01	1318.46	180.28	542.03	717.26	1523.43	1395.96
Amitava_133	projatir	a	i	D	VLS_N	102.02	89.38	97.01	5.67	0.02	146.61	440.89	683.78	1850.33	1516.84	197.05	366.76	399.84	2258.62	2387.20
Amitava_136	upottOka	o	O	D	VLS	77.37	49.16	155.36	15.51	0.006	177.57	566.42	508.91	1621.03	919.90	184.05	573.65	613.36	1382.70	1281.12
Amitava_137	upore	u	o	BL	VLS_N	74.78	80.43	82.65	9.45	0.01	169.18	497.40	351.03	2204.15	752.02	124.36	414.60	447.43	690.00	871.02
Amitava_138	jabar	a	a	BL	VS_N	85.07	75.32	41.63	6.69	0.02	116.71	529.36	754.51	1726.72	1264.96	151.06	650.89	697.93	999.01	1285.71
Amitava_139	upottOka	o	O	D	VLS	74.74	45.49	158.51	15.13	0.006	202.14	591.54	496.90	840.17	914.31	216.48	571.77	633.47	1328.03	1287.00
Amitava_140	alada	a	a	D	VS_N	60.10	97.59	68.34	10.02	0.03	146.60	694.61	674.19	1244.02	1312.93	205.29	657.70	829.10	1413.73	1375.21
Amitava_82	eTi	e	i	R	VLS_N	83.35	118.94	89.65	12.56	0.02	161.32	365.60	343.13	2294.88	2352.43	258.56	268.34	291.08	2431.48	2570.18
Amitava_83	jehetu	e	u	D	VLS_N	48.46	102.31	86.44	19.67	0.02	199.96	325.64	385.49	2165.18	2147.00	223.74	392.44	429.99	1210.87	915.75
Amitava_85	khabare	a	a	BL	VS_N	50.39	98.14	47.39	10.03	0.06	168.70	896.66	774.44	1118.57	1185.05	170.49	637.50	716.97	1039.10	1391.97
