File	Word	Vowel Type	Vowel	Vowel Duration (msec)	POA	MOA	Consonant Duration (msec)	Burst Duration	f0	f1_onset	f1_mid	f2_onset	f2_mid
Amitava_00	bharoter	1	o	37.26	D	VLS_N	61.20	16.43	209.17	621.09	598.74	1430.50	1445.77
	bharoter	2	e	54.70	D	VLS_N	61.20	16.43	223.66	536.05	595.26	1716.87	1751.65
Amitava_00	brihOttOmo	1	O	78.44		VLS	78.44	12.85	198.03	548.27	626.72	1613.16	1311.92
	brihOttOmo	2	O	76.25		VLS	78.44	12.85	149.05	550.47	583.59	1322.06	1155.39
Amitava_01	shOtoke	1	O	39.64	D	VLS_N	49.03	22.07	175.54	486.78	546.71	1118.82	1157.01
	shOtoke	2	o	37.79	D	VLS_N	49.03	22.07	176.13	537.65	541.27	1296.17	1322.81
Amitava_02	upore	1	u	58.20	BL	VLS_N	94.19	16.69	173.91	376.29	340.96	1003.06	798.66
	upore	2	o	74.04	BL	VLS_N	94.19	16.69	223.23	403.10	434.92	834.36	907.10
Amitava_02	pOddo	1	O	132.11	D	VS	198.47	22.64	145.50	511.79	578.79	671.50	814.66
	pOddo	2	o	79.71	D	VS	198.47	22.64	210.38	394.02	417.60	1246.28	1020.56
Amitava_03	bharoter	1	o	50.06	D	VLS_N	82.33	24.41	181.06	504.74	449.83	1231.36	1165.89
	bharoter	2	e	79.31	D	VLS_N	82.33	24.41	227.46	440.34	451.52	1841.24	1939.85
Amitava_04	taeroTi	1	o	82.19	R	VLS_N	77.97	18.31	173.97	463.09	423.42	1467.73	1201.46
	taeroTi	2	i	84.82	R	VLS_N	77.97	18.31	207.31	303.33	317.57	2373.19	2439.48
Amitava_06	theke	1	e	39.30	V	VLS_N	68.54	17.78	220.19	400.19	407.61	2003.42	2182.75
	theke	2	e	112.03	V	VLS_N	68.54	17.78	125.74	331.60	357.50	2315.09	2233.52
Amitava_07	uttor	1	u	87.15	R	VLS_N	155.18	31.30	167.78	283.53	347.05	1972.73	1836.69
	uttor	2	o	66.18	R	VLS_N	155.18	31.30	198.25	433.62	424.25	1172.86	1200.75
Amitava_08	theke	1	e	38.65	V	VLS_N	70.04	26.12	193.49	311.05	330.86	1949.84	2102.43
	theke	2	e	97.67	V	VLS_N	70.04	26.12	146.54	350.89	407.65	2288.18	2209.67
Amitava_09	theke	1	e	33.22	V	VLS_N	78.35	18.81	229.76	455.72	441.23	2207.28	2239.32
	theke	2	e	124.01	V	VLS_N	78.35	18.81	157.44	346.24	408.56	2298.13	2215.79
Amitava_130	uddan	1	u	57.80	D	VS	182.29	14.60	196.93	389.61	373.84	1295.01	1318.46
	uddan	2	a	125.37	D	VS	182.29	14.60	180.28	542.03	717.26	1523.43	1395.96
Amitava_133	projatir	1	a	102.02	D	VLS_N	97.01	5.67	146.61	440.89	683.78	1850.33	1516.84
	projatir	2	i	89.38	D	VLS_N	97.01	5.67	197.05	366.76	399.84	2258.62	2387.20
Amitava_136	upottOka	1	o	77.37	D	VLS	155.36	15.51	177.57	566.42	508.91	1621.03	919.90
	upottOka	2	O	49.16	D	VLS	155.36	15.51	184.05	573.65	613.36	1382.70	1281.12
Amitava_137	upore	1	u	74.78	BL	VLS_N	82.65	9.45	169.18	497.40	351.03	2204.15	752.02
	upore	2	o	80.43	BL	VLS_N	82.65	9.45	124.36	414.60	447.43	690.00	871.02
